,description.languages,activity,sector,location.country,location.town,borrowers.gender,borrowers.pictured,terms.disbursal_currency,terms.loss_liability.nonpayment,terms.loss_liability.currency_exchange,delinquent,journal_totals.entries,terms.loan_amount,duration,status
25,en,Farming,Agriculture,Kenya,Kangema,F,TRUE,USD,partner,none,FALSE,1.0,150,302.0,paid
26,en,Grocery Store,Food,Honduras,Danli,F,TRUE,USD,partner,none,FALSE,1.0,150,168.0,paid
27,en,Farming,Agriculture,Kenya,Kangema,F,TRUE,USD,partner,none,FALSE,1.0,225,305.0,paid
28,en,Decorations Sales,Retail,Mexico,Monterrey,F,TRUE,USD,partner,none,FALSE,1.0,450,198.0,paid
29,en,Food Production/Sales,Food,Mexico,Yucatán,F,TRUE,USD,partner,none,FALSE,1.0,200,168.0,paid
30,en,Agriculture,Agriculture,Mexico,Yucatán,F,TRUE,USD,partner,none,FALSE,1.0,925,167.0,paid
31,en,Beauty Salon,Services,Kenya,Kiambu,F,TRUE,USD,lender,none,TRUE,2.0,300,,defaulted
32,en,Manufacturing,Manufacturing,Mexico,"Mérida, Yucatán",M,TRUE,USD,partner,none,FALSE,1.0,275,129.0,paid
33,en,Sewing,Services,Honduras,Tegucigalpa,F,TRUE,USD,partner,none,FALSE,1.0,150,137.0,paid
34,en,Food Production/Sales,Food,Honduras,Danli,M,TRUE,USD,partner,none,FALSE,1.0,300,137.0,paid
35,en,Food Production/Sales,Food,Honduras,Danli,M,TRUE,USD,partner,none,FALSE,1.0,175,137.0,paid
36,en,Clothing Sales,Clothing,Honduras,Danli,F,TRUE,USD,partner,none,FALSE,1.0,200,137.0,paid
37,en,Food Production/Sales,Food,Mexico,Nuevo Laredo,F,TRUE,USD,partner,none,FALSE,1.0,800,411.0,paid
38,en,Grocery Store,Food,Honduras,Danli,M,TRUE,USD,partner,none,FALSE,1.0,150,106.0,paid
39,en,Clothing Sales,Clothing,Honduras,Tegucigalpa,F,TRUE,USD,partner,none,FALSE,1.0,200,106.0,paid
40,en,Used Clothing,Clothing,Tanzania,Dar Es Salaam,F,TRUE,USD,partner,none,FALSE,1.0,550,110.0,paid
41,en,Food Market,Food,Azerbaijan,Beylagan,F,TRUE,USD,partner,none,FALSE,1.0,500,366.0,paid
42,en,Computers,Services,Azerbaijan,Beylagan,M,TRUE,USD,partner,none,FALSE,1.0,300,366.0,paid
43,en,Food Production/Sales,Food,Azerbaijan,Baku,M,TRUE,USD,partner,none,FALSE,2.0,900,366.0,paid
44,en,Food Production/Sales,Food,Ghana,"Nkurankan, Yilo Krobo District,",F,TRUE,USD,partner,none,FALSE,1.0,800,274.0,paid
45,en,Clothing Sales,Clothing,Azerbaijan,Beylagan,M,TRUE,USD,partner,none,FALSE,1.0,1000,366.0,paid
46,en,Farming,Agriculture,Samoa,Saleilua,F,TRUE,USD,partner,none,FALSE,2.0,1200,583.0,paid
47,en,Soft Drinks,Food,Samoa,Taufusi,F,TRUE,USD,partner,none,FALSE,2.0,850,589.0,paid
48,,Vehicle Repairs,Services,Mexico,"Saltillo, Coahuila",M,TRUE,USD,partner,none,FALSE,1.0,275,78.0,paid
49,en,Cereals,Food,Kenya,Wanyororo,F,TRUE,USD,lender,none,TRUE,1.0,700,,defaulted
50,,General Store,Retail,Mexico,"Sabinas Hidalgo, Nuevo León",F,TRUE,USD,partner,none,FALSE,1.0,550,170.0,paid
51,,Food Production/Sales,Food,Mexico,"San Juanito, Chihuahua",F,TRUE,USD,partner,none,FALSE,1.0,200,47.0,paid
52,en,Furniture Making,Manufacturing,Honduras,Tegucigalpa,M,TRUE,USD,partner,none,FALSE,1.0,250,230.0,paid
53,en,Crafts,Arts,Afghanistan,Kabul,F,TRUE,USD,partner,none,FALSE,2.0,325,231.0,paid
54,,Dairy,Agriculture,Bolivia,La Paz,F,TRUE,USD,partner,none,FALSE,5.0,400,366.0,paid
55,en,Decorations Sales,Retail,Mexico,"Escobedo, Nuevo León",F,TRUE,USD,partner,none,FALSE,1.0,200,78.0,paid
56,en,Vehicle Repairs,Services,Afghanistan,Kabul,M,TRUE,USD,partner,none,FALSE,2.0,1025,236.0,paid
57,en,Home Products Sales,Retail,Ecuador,Guayaquil,M,TRUE,USD,partner,none,FALSE,2.0,875,268.0,paid
58,en,Food Market,Food,Viet Nam,"Long My, Hau Giang",F,TRUE,USD,partner,none,FALSE,3.0,75,245.0,paid
59,en,Farming,Agriculture,Ecuador,Baba,M,TRUE,USD,lender,none,TRUE,1.0,825,,defaulted
60,en,Farming,Agriculture,Kenya,Nyandarwa,M,TRUE,USD,lender,none,TRUE,1.0,700,,defaulted
61,en,Grocery Store,Food,Viet Nam,"Long My, Hau Giang",F,TRUE,USD,partner,none,FALSE,3.0,75,245.0,paid
62,en,Food Production/Sales,Food,Viet Nam,"Phung Hiep,hau Giang",M,TRUE,USD,partner,none,FALSE,2.0,75,246.0,paid
63,en,Clothing Sales,Clothing,Ukraine,Melitopol,F,TRUE,USD,partner,none,FALSE,1.0,500,174.0,paid
64,en,Clothing Sales,Clothing,Ukraine,Nikopol,F,TRUE,USD,partner,none,FALSE,1.0,800,175.0,paid
65,en,Cosmetics Sales,Retail,Afghanistan,Kabul,M,TRUE,USD,partner,none,FALSE,2.0,1025,233.0,paid
66,en,Retail,Retail,Viet Nam,"Duc Linh, Binh Thuan",F,TRUE,USD,partner,none,FALSE,3.0,75,183.0,paid
67,en,Grocery Store,Food,Kenya,Ongata Rongai,F,TRUE,USD,lender,none,TRUE,1.0,300,,defaulted
68,en,Grocery Store,Food,Kenya,"Pondamali, Nakuru",F,TRUE,USD,lender,none,TRUE,1.0,600,,defaulted
69,,Food Production/Sales,Food,Mexico,San Cristobal De Las Casas,F,TRUE,USD,partner,none,FALSE,2.0,200,245.0,paid
70,,Food Production/Sales,Food,Honduras,Tegucigalpa,F,TRUE,USD,partner,none,FALSE,1.0,500,352.0,paid
71,en,Restaurant,Food,Dominican Republic,Samana,F,TRUE,USD,partner,none,FALSE,2.0,450,183.0,paid
72,en,Farming,Agriculture,Kenya,Thika Town,F,TRUE,USD,lender,none,TRUE,1.0,300,,defaulted
73,en,General Store,Retail,The Democratic Republic of the Congo,Kinshasa,F,TRUE,USD,partner,none,FALSE,1.0,1000,122.0,paid
74,en,Retail,Retail,The Democratic Republic of the Congo,Kinshasa,F,TRUE,USD,partner,none,FALSE,1.0,500,122.0,paid
75,en,Food Production/Sales,Food,Kenya,"Bumula, Bungoma",F,TRUE,USD,partner,none,FALSE,1.0,150,184.0,paid
76,,Agriculture,Agriculture,Peru,Huancayo,F,TRUE,PEN,partner,partner,FALSE,2.0,650,263.0,paid
77,,Food Production/Sales,Food,Peru,Ayacucho,F,TRUE,PEN,partner,partner,FALSE,1.0,200,134.0,paid
78,,Food Production/Sales,Food,Peru,Huancayo,F,TRUE,PEN,partner,partner,FALSE,1.0,175,209.0,paid
79,en,Retail,Retail,Viet Nam,Dong Anh- Ha Noi,F,TRUE,VND,lender,partner,FALSE,1.0,250,183.0,paid
80,,Internet Cafe,Services,Peru,Chanchamayo,F,TRUE,PEN,partner,partner,FALSE,2.0,325,172.0,paid
81,en,Construction Supplies,Construction,Ghana,Oda,M,TRUE,GHS,partner,partner,FALSE,1.0,425,214.0,paid
82,en,Phone Use Sales,Retail,Ghana,Oda,M,TRUE,GHS,partner,partner,FALSE,1.0,700,214.0,paid
83,,Food Production/Sales,Food,Peru,Pucallpa,F,TRUE,PEN,partner,partner,FALSE,1.0,500,293.0,paid
84,en,General Store,Retail,Philippines,"Calape, Bohol",M,TRUE,PHP,partner,partner,FALSE,2.0,275,151.0,paid
85,en,Clothing Sales,Clothing,Ghana,Elmina,F,TRUE,GHS,partner,partner,FALSE,3.0,350,260.0,paid
86,en,Grocery Store,Food,Ghana,Elmina,M,TRUE,GHS,partner,partner,FALSE,1.0,700,260.0,paid
87,en,Beauty Salon,Services,Nigeria,"Ibadan, Oyo State",F,TRUE,NGN,partner,partner,FALSE,1.0,225,239.0,paid
88,,Fruits & Vegetables,Food,Senegal,Ndoucoura Thiès,F,TRUE,XOF,partner,partner,FALSE,1.0,500,212.0,paid
89,en,Beauty Salon,Services,Ghana,Oda,F,TRUE,GHS,partner,partner,FALSE,1.0,350,214.0,paid
90,en,Used Clothing,Clothing,Ghana,Oda,M,TRUE,GHS,partner,partner,FALSE,1.0,850,214.0,paid
91,,Catering,Food,Nicaragua,Masaya,F,TRUE,NIO,partner,partner,FALSE,2.0,275,109.0,paid
92,,Cheese Making,Food,Nicaragua,Chinandega,F,TRUE,NIO,lender,partner,FALSE,1.0,100,84.0,paid
93,en,General Store,Retail,Philippines,"Banga, South Cotabato",M,TRUE,PHP,partner,partner,FALSE,2.0,325,176.0,paid
94,,Livestock,Agriculture,Tajikistan,Gafurov,F,TRUE,TJS,partner,partner,FALSE,1.0,525,231.0,paid
95,en,Farming,Agriculture,Philippines,"Sto. Nino, South Cotabato",F,TRUE,PHP,partner,partner,FALSE,2.0,225,152.0,paid
96,en,Pharmacy,Health,Nigeria,Benin City,F,TRUE,NGN,partner,partner,FALSE,1.0,425,270.0,paid
97,en,Food Market,Food,Ghana,Siwdo,F,TRUE,GHS,partner,partner,FALSE,1.0,375,260.0,paid
98,en,Grocery Store,Food,Philippines,"Dapitan, City",F,TRUE,PHP,partner,partner,FALSE,2.0,125,208.0,paid
99,en,Fish Selling,Food,Philippines,"Southern Pob. Plaridel, Misamis Occidental",F,TRUE,PHP,partner,partner,FALSE,2.0,225,263.0,paid
100,,Cloth & Dressmaking Supplies,Retail,Tajikistan,Isfara,F,TRUE,TJS,partner,partner,FALSE,1.0,1050,185.0,paid
101,en,Cloth & Dressmaking Supplies,Retail,Ghana,Abura,F,TRUE,GHS,partner,partner,FALSE,1.0,375,260.0,paid
102,,Farm Supplies,Agriculture,Nicaragua,Managua,M,TRUE,NIO,partner,partner,FALSE,1.0,300,265.0,paid
103,,Cattle,Agriculture,Peru,Huancayo,F,TRUE,PEN,partner,partner,FALSE,2.0,100,263.0,paid
104,,Food Market,Food,Nicaragua,Masaya,F,TRUE,NIO,partner,partner,FALSE,2.0,1000,201.0,paid
105,,Livestock,Agriculture,Tajikistan,Asht,M,TRUE,TJS,partner,partner,FALSE,1.0,375,229.0,paid
106,,Clothing Sales,Clothing,Tajikistan,Khujand,F,TRUE,TJS,partner,partner,FALSE,1.0,525,227.0,paid
107,,Retail,Retail,Tajikistan,Khujand,F,TRUE,TJS,partner,partner,FALSE,1.0,275,226.0,paid
108,,Clothing Sales,Clothing,Peru,"Puno, Puno",F,TRUE,PEN,lender,partner,FALSE,1.0,175,165.0,paid
109,,General Store,Retail,Peru,"Mazocruz, Puno",F,TRUE,PEN,lender,partner,FALSE,1.0,975,180.0,paid
110,,Cattle,Agriculture,Peru,Puno,F,TRUE,PEN,partner,partner,FALSE,1.0,325,197.0,paid
111,,Animal Sales,Agriculture,Peru,Ayacucho,F,TRUE,PEN,partner,partner,FALSE,1.0,500,190.0,paid
112,en,Pigs,Agriculture,Philippines,"Dicayas, Dipolog City",F,TRUE,PHP,partner,partner,FALSE,2.0,150,103.0,paid
113,en,Food Production/Sales,Food,Philippines,"Tuguegarao City, Cagayan",F,TRUE,PHP,partner,partner,FALSE,2.0,200,181.0,paid
114,en,General Store,Retail,Philippines,"Cauayan City, Isabela",F,TRUE,PHP,partner,partner,FALSE,2.0,150,190.0,paid
115,en,Food Market,Food,Philippines,"Cauayan City, Isabela",F,TRUE,PHP,partner,partner,FALSE,2.0,350,181.0,paid
116,en,Butcher Shop,Food,Ghana,Oda,M,TRUE,GHS,partner,partner,FALSE,1.0,625,214.0,paid
117,en,Sewing,Services,Ghana,Elmina,F,TRUE,GHS,partner,partner,FALSE,1.0,425,246.0,paid
118,en,Retail,Retail,Philippines,"Lagag, Sindangan, Zamboanga Del Norte",F,TRUE,PHP,partner,partner,FALSE,2.0,125,199.0,paid
119,,Food Production/Sales,Food,Peru,Pucallpa-ucayali,F,TRUE,PEN,partner,partner,FALSE,1.0,725,160.0,paid
120,en,Food Market,Food,Philippines,"Navalan, Tukuran, Zamboanga Del Sur",F,TRUE,PHP,partner,partner,FALSE,2.0,300,206.0,paid
121,en,Pigs,Agriculture,Philippines,"Mangidkid, Plaridel, Misamis Occidental",F,TRUE,PHP,partner,partner,FALSE,2.0,225,273.0,paid
122,,Retail,Retail,Mali,Bougouni,M,TRUE,XOF,partner,partner,FALSE,2.0,625,289.0,paid
123,en,Fish Selling,Food,Dominican Republic,Hato Mayor,F,TRUE,DOP,lender,partner,FALSE,2.0,2500,202.0,paid
124,,Cereals,Food,Mali,Bougouni,F,TRUE,XOF,partner,partner,FALSE,2.0,225,216.0,paid
125,,Retail,Retail,Peru,Quiquijana,F,TRUE,PEN,lender,partner,FALSE,2.0,3075,221.0,paid
126,en,Cafe,Food,Dominican Republic,San Pedro De Macorís,F,TRUE,DOP,lender,partner,FALSE,1.0,2000,198.0,paid
127,en,Farming,Agriculture,Philippines,"Sto. Nino, South Cotabato",F,TRUE,PHP,partner,partner,FALSE,2.0,325,178.0,paid
128,en,Pigs,Agriculture,Philippines,"Sto. Nino, South Cotabato",F,TRUE,PHP,partner,partner,FALSE,2.0,325,178.0,paid
129,,Timber Sales,Construction,Peru,Lima,F,TRUE,PEN,partner,partner,FALSE,1.0,675,152.0,paid
130,,Transportation,Transportation,Peru,Lima,M,TRUE,PEN,partner,partner,FALSE,1.0,350,273.0,paid
131,,Services,Services,Peru,Ayacucho,F,TRUE,PEN,partner,partner,FALSE,1.0,350,129.0,paid
132,en,Pigs,Agriculture,Philippines,"Sto.nino, South Cotabato",F,TRUE,PHP,partner,partner,FALSE,2.0,325,178.0,paid
133,en,Farming,Agriculture,Philippines,"San Jose, Agusan Del Sur",F,TRUE,PHP,partner,partner,FALSE,2.0,125,175.0,paid
134,en,Fruits & Vegetables,Food,Cambodia,Siem Reap,F,TRUE,USD,partner,none,FALSE,1.0,1100,282.0,paid
135,en,Farming,Agriculture,Cambodia,Battambang,F,TRUE,USD,partner,none,FALSE,1.0,800,280.0,paid
136,en,Farming,Agriculture,Philippines,"Banga, South Cotabato",F,TRUE,PHP,partner,partner,FALSE,2.0,225,171.0,paid
137,en,Farming,Agriculture,Philippines,"Bunawan, Agusan Del Sur",M,TRUE,PHP,partner,partner,FALSE,2.0,225,169.0,paid
138,en,Pharmacy,Health,Nigeria,Lagos State,M,TRUE,NGN,partner,partner,FALSE,2.0,975,239.0,paid
139,en,Used Clothing,Clothing,Uganda,Ibanda,F,TRUE,UGX,partner,partner,FALSE,2.0,3950,139.0,paid
140,en,Pigs,Agriculture,Philippines,"Sibutad, Zamboanga Del Norte",F,TRUE,PHP,partner,partner,FALSE,2.0,125,185.0,paid
141,,Retail,Retail,Bolivia,La Paz,F,TRUE,BOB,lender,partner,FALSE,1.0,725,124.0,paid
142,,Retail,Retail,Tajikistan,Isfara,M,TRUE,TJS,partner,partner,FALSE,1.0,1025,97.0,paid
143,,Retail,Retail,Honduras,San Lorenzo,F,TRUE,HNL,lender,partner,FALSE,1.0,425,230.0,paid
144,en,Food Market,Food,Nigeria,Lagos State,F,TRUE,NGN,partner,partner,FALSE,1.0,350,270.0,paid
145,en,Clothing Sales,Clothing,Nigeria,Lagos State,F,TRUE,NGN,partner,partner,FALSE,1.0,700,270.0,paid
146,en,Clothing Sales,Clothing,Nigeria,Lagos State,F,TRUE,NGN,partner,partner,FALSE,1.0,700,239.0,paid
147,en,Cloth & Dressmaking Supplies,Retail,Nigeria,Lagos State,F,TRUE,NGN,partner,partner,FALSE,2.0,975,270.0,paid
148,en,Cosmetics Sales,Retail,Philippines,Roxas,F,TRUE,PHP,partner,partner,FALSE,2.0,125,195.0,paid
149,en,Pigs,Agriculture,Philippines,Isabela,F,TRUE,PHP,partner,partner,FALSE,2.0,125,196.0,paid
150,en,Cattle,Agriculture,Cambodia,Ta Preak Village,F,TRUE,KHR,lender,partner,FALSE,1.0,500,252.0,paid
151,en,Farming,Agriculture,Tajikistan,Gafurov,M,TRUE,TJS,partner,partner,FALSE,3.0,650,213.0,paid
152,en,Fruits & Vegetables,Food,Philippines,Isabela,F,TRUE,PHP,partner,partner,FALSE,2.0,125,191.0,paid
153,en,General Store,Retail,Philippines,"Solano, Nueva Vizcaya",F,TRUE,PHP,partner,partner,FALSE,2.0,125,191.0,paid
154,en,Photography,Services,Nigeria,"Ibadan, Oyo State",M,TRUE,NGN,partner,partner,FALSE,1.0,350,239.0,paid
155,,Clothing Sales,Clothing,Tajikistan,Spitamen,F,TRUE,TJS,partner,partner,FALSE,1.0,275,221.0,paid
156,,Retail,Retail,Peru,Juliaca,F,TRUE,PEN,partner,partner,FALSE,1.0,675,222.0,paid
157,,Timber Sales,Construction,Peru,Lima,F,TRUE,PEN,partner,partner,FALSE,2.0,675,214.0,paid
158,,General Store,Retail,Peru,Trujillo - La Libertad,F,TRUE,PEN,partner,partner,FALSE,1.0,350,154.0,paid
159,,Grocery Store,Food,Peru,"Puno, Puno",F,TRUE,PEN,partner,partner,FALSE,1.0,175,153.0,paid
160,,Cosmetics Sales,Retail,Peru,Lima,F,TRUE,PEN,partner,partner,FALSE,2.0,475,193.0,paid
161,en,Farming,Agriculture,Philippines,"Veruela, Agusan Del Sur",F,TRUE,PHP,partner,partner,FALSE,2.0,150,176.0,paid
162,en,Farming,Agriculture,Tajikistan,Shahrituz,M,TRUE,TJS,partner,partner,FALSE,2.0,1275,162.0,paid
163,en,Pigs,Agriculture,Philippines,"Dapitan City, Zamboanga Del Norte",F,TRUE,PHP,partner,partner,FALSE,2.0,125,215.0,paid
164,en,Grocery Store,Food,Ghana,Accra,F,TRUE,GHS,partner,partner,FALSE,1.0,575,199.0,paid
165,,Livestock,Agriculture,Peru,Trujillo - La Libertad,F,TRUE,PEN,partner,partner,FALSE,1.0,175,216.0,paid
166,,Food Production/Sales,Food,Peru,Trujillo - La Libertad,F,TRUE,PEN,partner,partner,FALSE,1.0,350,154.0,paid
167,,Retail,Retail,Peru,Trujillo - La Libertad,F,TRUE,PEN,partner,partner,FALSE,1.0,525,154.0,paid
168,en,Grocery Store,Food,Ghana,Kasoa,F,TRUE,GHS,partner,partner,FALSE,1.0,500,193.0,paid
169,en,Used Clothing,Clothing,Ghana,Oda,F,TRUE,GHS,partner,partner,FALSE,1.0,725,201.0,paid
170,en,Food Production/Sales,Food,Philippines,"Santiago City, Isabela",F,TRUE,PHP,partner,partner,FALSE,2.0,175,184.0,paid
171,en,Farming,Agriculture,Philippines,"Sta. Josefa, Agusan Del Sur",F,TRUE,PHP,partner,partner,FALSE,2.0,300,194.0,paid
172,,Livestock,Agriculture,Tajikistan,Gonjy,M,TRUE,TJS,partner,partner,FALSE,1.0,100,233.0,paid
173,,Sewing,Services,Tajikistan,Istaravshan,F,TRUE,TJS,partner,partner,FALSE,1.0,325,227.0,paid
174,,Clothing Sales,Clothing,Peru,Lima,F,TRUE,PEN,partner,partner,FALSE,1.0,675,192.0,paid
175,,Retail,Retail,Tajikistan,Isfara,M,TRUE,TJS,partner,partner,FALSE,1.0,1500,232.0,paid
176,,Clothing Sales,Clothing,Peru,Ayacucho,F,TRUE,PEN,partner,partner,FALSE,1.0,675,200.0,paid
177,,Natural Medicines,Health,Peru,Ayacucho,F,TRUE,PEN,partner,partner,FALSE,1.0,350,200.0,paid
178,,Milk Sales,Food,Senegal,Kolda,F,TRUE,XOF,partner,partner,FALSE,1.0,625,224.0,paid
179,,Food Production/Sales,Food,Peru,Lima,F,TRUE,PEN,partner,partner,FALSE,2.0,275,214.0,paid
180,,Cosmetics Sales,Retail,Peru,Lima,F,TRUE,PEN,partner,partner,FALSE,2.0,525,210.0,paid
181,,Jewelry,Retail,Nicaragua,Chinandega,F,TRUE,NIO,lender,partner,FALSE,1.0,250,91.0,paid
182,en,Clothing Sales,Clothing,Sierra Leone,Makeni,F,TRUE,SLL,lender,partner,FALSE,1.0,1875,221.0,paid
183,en,Charcoal Sales,Retail,Uganda,Kampala,F,TRUE,UGX,lender,partner,FALSE,1.0,725,189.0,paid
184,en,Food Market,Food,Nigeria,Lagos State,F,TRUE,NGN,partner,partner,FALSE,1.0,975,270.0,paid
185,en,General Store,Retail,Philippines,"Clarin,misamis Occidental",F,TRUE,PHP,partner,partner,FALSE,2.0,125,82.0,paid
186,,Farm Supplies,Agriculture,Nicaragua,Managua,F,TRUE,NIO,partner,partner,FALSE,1.0,375,175.0,paid
187,,Taxi,Transportation,Bolivia,La Paz,M,TRUE,USD,lender,none,FALSE,1.0,1000,53.0,paid
188,,Bakery,Food,Bolivia,La Paz,F,TRUE,BOB,lender,partner,FALSE,1.0,875,178.0,paid
189,,Butcher Shop,Food,Nicaragua,Chinandega,F,TRUE,NIO,lender,partner,FALSE,1.0,600,90.0,paid
190,,Grocery Store,Food,Nicaragua,Chinandega,F,TRUE,NIO,lender,partner,FALSE,1.0,525,92.0,paid
191,,Crafts,Arts,Nicaragua,Chinandega,F,TRUE,NIO,lender,partner,FALSE,2.0,525,92.0,paid
192,en,General Store,Retail,Philippines,,F,TRUE,PHP,partner,partner,FALSE,2.0,150,169.0,paid
193,en,Farming,Agriculture,Philippines,"Kapatungan, Agusan Del Sur",F,TRUE,PHP,partner,partner,FALSE,2.0,150,200.0,paid
194,en,Food Market,Food,Nigeria,"Ibadan, Oyo State",M,TRUE,NGN,partner,partner,FALSE,1.0,350,256.0,paid
195,,Food Production/Sales,Food,Benin,Cotonou,F,TRUE,XOF,partner,partner,FALSE,2.0,250,193.0,paid
196,,Restaurant,Food,Benin,Cotonou,F,TRUE,XOF,partner,partner,FALSE,2.0,225,193.0,paid
197,en,Farming,Agriculture,Philippines,Isabela,F,TRUE,PHP,partner,partner,FALSE,1.0,150,212.0,paid
198,en,Farming,Agriculture,Philippines,Isabela,F,TRUE,PHP,partner,partner,FALSE,1.0,150,212.0,paid
199,en,Food Market,Food,Ghana,Dorma,F,TRUE,GHS,partner,partner,FALSE,1.0,550,193.0,paid
200,en,Taxi,Transportation,Ghana,Kasoa,M,TRUE,GHS,partner,partner,FALSE,1.0,700,194.0,paid
201,en,Butcher Shop,Food,Ukraine,Nikopol,M,TRUE,UAH,partner,partner,FALSE,1.0,800,202.0,paid
202,en,Pigs,Agriculture,Indonesia,"Melaya, Bali",F,TRUE,IDR,lender,partner,FALSE,1.0,500,235.0,paid
203,,Livestock,Agriculture,Tajikistan,Utkansoi,M,TRUE,TJS,partner,partner,FALSE,1.0,425,235.0,paid
204,en,Retail,Retail,Ghana,Oda,F,TRUE,GHS,partner,partner,FALSE,1.0,575,190.0,paid
205,,Retail,Retail,Peru,"Puno, Puno",F,TRUE,PEN,partner,partner,FALSE,1.0,150,206.0,paid
206,en,Pigs,Agriculture,Philippines,"San Pablo, Alicia, Isabela",F,TRUE,PHP,partner,partner,FALSE,2.0,325,207.0,paid
207,en,Fish Selling,Food,Nigeria,Benin City,F,TRUE,NGN,partner,partner,FALSE,1.0,700,249.0,paid
208,en,Clothing Sales,Clothing,Uganda,Mukono,F,TRUE,UGX,partner,partner,FALSE,2.0,4200,151.0,paid
209,en,Tailoring,Services,Philippines,"La Paz, Cabatuan Isabela",F,TRUE,PHP,partner,partner,FALSE,2.0,175,205.0,paid
210,en,Pigs,Agriculture,Cambodia,Pursat,F,TRUE,USD,partner,none,FALSE,1.0,300,88.0,paid
211,en,Food Production/Sales,Food,Ghana,Oda,F,TRUE,GHS,partner,partner,FALSE,1.0,500,186.0,paid
212,en,Fish Selling,Food,Cambodia,Banteay Meanchey,F,TRUE,USD,partner,none,FALSE,1.0,800,253.0,paid
213,en,Farm Supplies,Agriculture,Uganda,Lugazi,M,TRUE,UGX,partner,partner,FALSE,2.0,2600,149.0,paid
214,en,Food Production/Sales,Food,Ghana,Dorma Ahenklro,F,TRUE,GHS,partner,partner,FALSE,1.0,500,188.0,paid
215,,Food Production/Sales,Food,Peru,Lima,F,TRUE,PEN,partner,partner,FALSE,2.0,350,130.0,paid
216,,Cattle,Agriculture,Tajikistan,Khujand,F,TRUE,TJS,partner,partner,FALSE,1.0,400,229.0,paid
217,,Retail,Retail,Tajikistan,Khujand,F,TRUE,TJS,partner,partner,FALSE,1.0,300,149.0,paid
218,,Transportation,Transportation,Peru,Huancayo,F,TRUE,PEN,partner,partner,FALSE,2.0,200,207.0,paid
219,,Catering,Food,Nicaragua,Leon,F,TRUE,NIO,partner,partner,FALSE,1.0,800,96.0,paid
220,,General Store,Retail,Peru,"Puno, Puno",F,TRUE,PEN,partner,partner,FALSE,1.0,675,194.0,paid
