,description.languages,status,funded_amount,activity,sector,location.country,location.town,partner_id,borrowers.gender,borrowers.pictured,terms.disbursal_amount,terms.disbursal_currency,terms.loan_amount,terms.loss_liability.nonpayment,terms.loss_liability.currency_exchange,journal_totals.entries,delinquent,duration
91,,paid,275,Catering,Food,Nicaragua,Masaya,120,F,True,5500.0,NIO,275,partner,partner,2.0,False,109.0
92,,paid,100,Cheese Making,Food,Nicaragua,Chinandega,74,F,True,2000.0,NIO,100,lender,partner,1.0,False,84.0
93,en,paid,325,General Store,Retail,Philippines,"Banga, South Cotabato",125,M,True,15000.0,PHP,325,partner,partner,2.0,False,176.0
94,,paid,525,Livestock,Agriculture,Tajikistan,Gafurov,47,F,True,2000.0,TJS,525,partner,partner,1.0,False,231.0
95,en,paid,225,Farming,Agriculture,Philippines,"Sto. Nino, South Cotabato",125,F,True,10000.0,PHP,225,partner,partner,2.0,False,152.0
96,en,paid,425,Pharmacy,Health,Nigeria,Benin City,20,F,True,60000.0,NGN,425,partner,partner,1.0,False,270.0
97,en,paid,375,Food Market,Food,Ghana,Siwdo,91,F,True,500.0,GHS,375,partner,partner,1.0,False,260.0
98,en,paid,125,Grocery Store,Food,Philippines,"Dapitan, City",126,F,True,5000.0,PHP,125,partner,partner,2.0,False,208.0
99,en,paid,225,Fish Selling,Food,Philippines,"Southern Pob. Plaridel, Misamis Occidental",126,F,True,10000.0,PHP,225,partner,partner,2.0,False,263.0
100,,paid,1050,Cloth & Dressmaking Supplies,Retail,Tajikistan,Isfara,47,F,True,4000.0,TJS,1050,partner,partner,1.0,False,185.0
101,en,paid,375,Cloth & Dressmaking Supplies,Retail,Ghana,Abura,91,F,True,500.0,GHS,375,partner,partner,1.0,False,260.0
102,,paid,300,Farm Supplies,Agriculture,Nicaragua,Managua,98,M,True,6000.0,NIO,300,partner,partner,1.0,False,265.0
103,,paid,100,Cattle,Agriculture,Peru,Huancayo,71,F,True,300.0,PEN,100,partner,partner,2.0,False,263.0
104,,paid,1000,Food Market,Food,Nicaragua,Masaya,120,F,True,20000.0,NIO,1000,partner,partner,2.0,False,201.0
105,,paid,375,Livestock,Agriculture,Tajikistan,Asht,47,M,True,1400.0,TJS,375,partner,partner,1.0,False,229.0
106,,paid,525,Clothing Sales,Clothing,Tajikistan,Khujand,47,F,True,2000.0,TJS,525,partner,partner,1.0,False,227.0
107,,paid,275,Retail,Retail,Tajikistan,Khujand,47,F,True,1000.0,TJS,275,partner,partner,1.0,False,226.0
108,,paid,175,Clothing Sales,Clothing,Peru,"Puno, Puno",72,F,True,500.0,PEN,175,lender,partner,1.0,False,165.0
109,,paid,975,General Store,Retail,Peru,"Mazocruz, Puno",72,F,True,3000.0,PEN,975,lender,partner,1.0,False,180.0
110,,paid,325,Cattle,Agriculture,Peru,Puno,71,F,True,1000.0,PEN,325,partner,partner,1.0,False,197.0
111,,paid,500,Animal Sales,Agriculture,Peru,Ayacucho,70,F,True,1500.0,PEN,500,partner,partner,1.0,False,190.0
112,en,paid,150,Pigs,Agriculture,Philippines,"Dicayas, Dipolog City",126,F,True,7000.0,PHP,150,partner,partner,2.0,False,103.0
113,en,paid,200,Food Production/Sales,Food,Philippines,"Tuguegarao City, Cagayan",123,F,True,9000.0,PHP,200,partner,partner,2.0,False,181.0
114,en,paid,150,General Store,Retail,Philippines,"Cauayan City, Isabela",123,F,True,7000.0,PHP,150,partner,partner,2.0,False,190.0
115,en,paid,350,Food Market,Food,Philippines,"Cauayan City, Isabela",123,F,True,16000.0,PHP,350,partner,partner,2.0,False,181.0
116,en,paid,625,Butcher Shop,Food,Ghana,Oda,88,M,True,900.0,GHS,625,partner,partner,1.0,False,214.0
117,en,paid,425,Sewing,Services,Ghana,Elmina,91,F,True,600.0,GHS,425,partner,partner,1.0,False,246.0
118,en,paid,125,Retail,Retail,Philippines,"Lagag, Sindangan, Zamboanga Del Norte",126,F,True,5000.0,PHP,125,partner,partner,2.0,False,199.0
119,,paid,725,Food Production/Sales,Food,Peru,Pucallpa-ucayali,72,F,True,2200.0,PEN,725,partner,partner,1.0,False,160.0
120,en,paid,300,Food Market,Food,Philippines,"Navalan, Tukuran, Zamboanga Del Sur",126,F,True,14000.0,PHP,300,partner,partner,2.0,False,206.0
121,en,paid,225,Pigs,Agriculture,Philippines,"Mangidkid, Plaridel, Misamis Occidental",126,F,True,10000.0,PHP,225,partner,partner,2.0,False,273.0
122,,paid,625,Retail,Retail,Mali,Bougouni,78,M,True,300000.0,XOF,625,partner,partner,2.0,False,289.0
123,en,paid,2500,Fish Selling,Food,Dominican Republic,Hato Mayor,44,F,True,89000.0,DOP,2500,lender,partner,2.0,False,202.0
124,,paid,225,Cereals,Food,Mali,Bougouni,78,F,True,100000.0,XOF,225,partner,partner,2.0,False,216.0
125,,paid,3075,Retail,Retail,Peru,Quiquijana,119,F,True,9650.0,PEN,3075,lender,partner,2.0,False,221.0
126,en,paid,2000,Cafe,Food,Dominican Republic,San Pedro De Macorís,44,F,True,71000.0,DOP,2000,lender,partner,1.0,False,198.0
127,en,paid,325,Farming,Agriculture,Philippines,"Sto. Nino, South Cotabato",125,F,True,15000.0,PHP,325,partner,partner,2.0,False,178.0
128,en,paid,325,Pigs,Agriculture,Philippines,"Sto. Nino, South Cotabato",125,F,True,15000.0,PHP,325,partner,partner,2.0,False,178.0
129,,paid,675,Timber Sales,Construction,Peru,Lima,71,F,True,2000.0,PEN,675,partner,partner,1.0,False,152.0
130,,paid,350,Transportation,Transportation,Peru,Lima,71,M,True,1000.0,PEN,350,partner,partner,1.0,False,273.0
131,,paid,350,Services,Services,Peru,Ayacucho,70,F,True,1050.0,PEN,350,partner,partner,1.0,False,129.0
132,en,paid,325,Pigs,Agriculture,Philippines,"Sto.nino, South Cotabato",125,F,True,15000.0,PHP,325,partner,partner,2.0,False,178.0
133,en,paid,125,Farming,Agriculture,Philippines,"San Jose, Agusan Del Sur",125,F,True,6000.0,PHP,125,partner,partner,2.0,False,175.0
134,en,paid,1100,Fruits & Vegetables,Food,Cambodia,Siem Reap,106,F,True,1100.0,USD,1100,partner,none,1.0,False,282.0
135,en,paid,800,Farming,Agriculture,Cambodia,Battambang,106,F,True,800.0,USD,800,partner,none,1.0,False,280.0
136,en,paid,225,Farming,Agriculture,Philippines,"Banga, South Cotabato",125,F,True,10000.0,PHP,225,partner,partner,2.0,False,171.0
137,en,paid,225,Farming,Agriculture,Philippines,"Bunawan, Agusan Del Sur",125,M,True,10000.0,PHP,225,partner,partner,2.0,False,169.0
138,en,paid,975,Pharmacy,Health,Nigeria,Lagos State,20,M,True,140000.0,NGN,975,partner,partner,2.0,False,239.0
139,en,paid,3950,Used Clothing,Clothing,Uganda,Ibanda,84,F,True,8500000.0,UGX,3950,partner,partner,2.0,False,139.0
140,en,paid,125,Pigs,Agriculture,Philippines,"Sibutad, Zamboanga Del Norte",126,F,True,5000.0,PHP,125,partner,partner,2.0,False,185.0
141,,paid,725,Retail,Retail,Bolivia,La Paz,110,F,True,5000.0,BOB,725,lender,partner,1.0,False,124.0
142,,paid,1025,Retail,Retail,Tajikistan,Isfara,47,M,True,4000.0,TJS,1025,partner,partner,1.0,False,97.0
143,,paid,425,Retail,Retail,Honduras,San Lorenzo,118,F,True,8000.0,HNL,425,lender,partner,1.0,False,230.0
144,en,paid,350,Food Market,Food,Nigeria,Lagos State,20,F,True,50000.0,NGN,350,partner,partner,1.0,False,270.0
145,en,paid,700,Clothing Sales,Clothing,Nigeria,Lagos State,20,F,True,100000.0,NGN,700,partner,partner,1.0,False,270.0
146,en,paid,700,Clothing Sales,Clothing,Nigeria,Lagos State,20,F,True,100000.0,NGN,700,partner,partner,1.0,False,239.0
147,en,paid,975,Cloth & Dressmaking Supplies,Retail,Nigeria,Lagos State,20,F,True,140000.0,NGN,975,partner,partner,2.0,False,270.0
148,en,paid,125,Cosmetics Sales,Retail,Philippines,Roxas,123,F,True,5000.0,PHP,125,partner,partner,2.0,False,195.0
149,en,paid,125,Pigs,Agriculture,Philippines,Isabela,123,F,True,6000.0,PHP,125,partner,partner,2.0,False,196.0
150,en,paid,500,Cattle,Agriculture,Cambodia,Ta Preak Village,109,F,True,2000000.0,KHR,500,lender,partner,1.0,False,252.0
151,en,paid,650,Farming,Agriculture,Tajikistan,Gafurov,100,M,True,2500.0,TJS,650,partner,partner,3.0,False,213.0
152,en,paid,125,Fruits & Vegetables,Food,Philippines,Isabela,123,F,True,5000.0,PHP,125,partner,partner,2.0,False,191.0
153,en,paid,125,General Store,Retail,Philippines,"Solano, Nueva Vizcaya",123,F,True,6000.0,PHP,125,partner,partner,2.0,False,191.0
154,en,paid,350,Photography,Services,Nigeria,"Ibadan, Oyo State",20,M,True,50000.0,NGN,350,partner,partner,1.0,False,239.0
155,,paid,275,Clothing Sales,Clothing,Tajikistan,Spitamen,47,F,True,1000.0,TJS,275,partner,partner,1.0,False,221.0
156,,paid,675,Retail,Retail,Peru,Juliaca,71,F,True,2000.0,PEN,675,partner,partner,1.0,False,222.0
157,,paid,675,Timber Sales,Construction,Peru,Lima,71,F,True,2000.0,PEN,675,partner,partner,2.0,False,214.0
158,,paid,350,General Store,Retail,Peru,Trujillo - La Libertad,72,F,True,1000.0,PEN,350,partner,partner,1.0,False,154.0
159,,paid,175,Grocery Store,Food,Peru,"Puno, Puno",72,F,True,500.0,PEN,175,partner,partner,1.0,False,153.0
160,,paid,475,Cosmetics Sales,Retail,Peru,Lima,70,F,True,1400.0,PEN,475,partner,partner,2.0,False,193.0
161,en,paid,150,Farming,Agriculture,Philippines,"Veruela, Agusan Del Sur",125,F,True,6000.0,PHP,150,partner,partner,2.0,False,176.0
162,en,paid,1275,Farming,Agriculture,Tajikistan,Shahrituz,100,M,True,5000.0,TJS,1275,partner,partner,2.0,False,162.0
163,en,paid,125,Pigs,Agriculture,Philippines,"Dapitan City, Zamboanga Del Norte",126,F,True,5000.0,PHP,125,partner,partner,2.0,False,215.0
164,en,paid,575,Grocery Store,Food,Ghana,Accra,88,F,True,800.0,GHS,575,partner,partner,1.0,False,199.0
165,,paid,175,Livestock,Agriculture,Peru,Trujillo - La Libertad,72,F,True,500.0,PEN,175,partner,partner,1.0,False,216.0
166,,paid,350,Food Production/Sales,Food,Peru,Trujillo - La Libertad,72,F,True,1000.0,PEN,350,partner,partner,1.0,False,154.0
167,,paid,525,Retail,Retail,Peru,Trujillo - La Libertad,72,F,True,1500.0,PEN,525,partner,partner,1.0,False,154.0
168,en,paid,500,Grocery Store,Food,Ghana,Kasoa,88,F,True,700.0,GHS,500,partner,partner,1.0,False,193.0
169,en,paid,725,Used Clothing,Clothing,Ghana,Oda,88,F,True,1000.0,GHS,725,partner,partner,1.0,False,201.0
170,en,paid,175,Food Production/Sales,Food,Philippines,"Santiago City, Isabela",123,F,True,8000.0,PHP,175,partner,partner,2.0,False,184.0
171,en,paid,300,Farming,Agriculture,Philippines,"Sta. Josefa, Agusan Del Sur",125,F,True,14000.0,PHP,300,partner,partner,2.0,False,194.0
172,,paid,100,Livestock,Agriculture,Tajikistan,Gonjy,47,M,True,300.0,TJS,100,partner,partner,1.0,False,233.0
173,,paid,325,Sewing,Services,Tajikistan,Istaravshan,47,F,True,1200.0,TJS,325,partner,partner,1.0,False,227.0
174,,paid,675,Clothing Sales,Clothing,Peru,Lima,70,F,True,2000.0,PEN,675,partner,partner,1.0,False,192.0
175,,paid,1500,Retail,Retail,Tajikistan,Isfara,47,M,True,6000.0,TJS,1500,partner,partner,1.0,False,232.0
176,,paid,675,Clothing Sales,Clothing,Peru,Ayacucho,70,F,True,2000.0,PEN,675,partner,partner,1.0,False,200.0
177,,paid,350,Natural Medicines,Health,Peru,Ayacucho,70,F,True,1000.0,PEN,350,partner,partner,1.0,False,200.0
178,,paid,625,Milk Sales,Food,Senegal,Kolda,105,F,True,300000.0,XOF,625,partner,partner,1.0,False,224.0
179,,paid,275,Food Production/Sales,Food,Peru,Lima,71,F,True,800.0,PEN,275,partner,partner,2.0,False,214.0
180,,paid,525,Cosmetics Sales,Retail,Peru,Lima,71,F,True,1500.0,PEN,525,partner,partner,2.0,False,210.0
181,,paid,250,Jewelry,Retail,Nicaragua,Chinandega,74,F,True,4500.0,NIO,250,lender,partner,1.0,False,91.0
182,en,paid,1875,Clothing Sales,Clothing,Sierra Leone,Makeni,57,F,True,6000000.0,SLL,1875,lender,partner,1.0,False,221.0
183,en,paid,725,Charcoal Sales,Retail,Uganda,Kampala,112,F,True,1600000.0,UGX,725,lender,partner,1.0,False,189.0
184,en,paid,975,Food Market,Food,Nigeria,Lagos State,20,F,True,140000.0,NGN,975,partner,partner,1.0,False,270.0
185,en,paid,125,General Store,Retail,Philippines,"Clarin,misamis Occidental",126,F,True,5000.0,PHP,125,partner,partner,2.0,False,82.0
186,,paid,375,Farm Supplies,Agriculture,Nicaragua,Managua,98,F,True,7000.0,NIO,375,partner,partner,1.0,False,175.0
187,,paid,1000,Taxi,Transportation,Bolivia,La Paz,110,M,True,1000.0,USD,1000,lender,none,1.0,False,53.0
188,,paid,875,Bakery,Food,Bolivia,La Paz,110,F,True,6000.0,BOB,875,lender,partner,1.0,False,178.0
189,,paid,600,Butcher Shop,Food,Nicaragua,Chinandega,74,F,True,11000.0,NIO,600,lender,partner,1.0,False,90.0
190,,paid,525,Grocery Store,Food,Nicaragua,Chinandega,74,F,True,10000.0,NIO,525,lender,partner,1.0,False,92.0
191,,paid,525,Crafts,Arts,Nicaragua,Chinandega,74,F,True,10000.0,NIO,525,lender,partner,2.0,False,92.0
192,en,paid,150,General Store,Retail,Philippines,,126,F,True,7000.0,PHP,150,partner,partner,2.0,False,169.0
193,en,paid,150,Farming,Agriculture,Philippines,"Kapatungan, Agusan Del Sur",125,F,True,7000.0,PHP,150,partner,partner,2.0,False,200.0
194,en,paid,350,Food Market,Food,Nigeria,"Ibadan, Oyo State",20,M,True,50000.0,NGN,350,partner,partner,1.0,False,256.0
195,,paid,250,Food Production/Sales,Food,Benin,Cotonou,104,F,True,120000.0,XOF,250,partner,partner,2.0,False,193.0
196,,paid,225,Restaurant,Food,Benin,Cotonou,104,F,True,100000.0,XOF,225,partner,partner,2.0,False,193.0
197,en,paid,150,Farming,Agriculture,Philippines,Isabela,123,F,True,7000.0,PHP,150,partner,partner,1.0,False,212.0
198,en,paid,150,Farming,Agriculture,Philippines,Isabela,123,F,True,7000.0,PHP,150,partner,partner,1.0,False,212.0
199,en,paid,550,Food Market,Food,Ghana,Dorma,88,F,True,800.0,GHS,550,partner,partner,1.0,False,193.0
200,en,paid,700,Taxi,Transportation,Ghana,Kasoa,88,M,True,1000.0,GHS,700,partner,partner,1.0,False,194.0
201,en,paid,800,Butcher Shop,Food,Ukraine,Nikopol,26,M,True,6000.0,UAH,800,partner,partner,1.0,False,202.0
202,en,paid,500,Pigs,Agriculture,Indonesia,"Melaya, Bali",82,F,True,5000000.0,IDR,500,lender,partner,1.0,False,235.0
203,,paid,425,Livestock,Agriculture,Tajikistan,Utkansoi,47,M,True,1600.0,TJS,425,partner,partner,1.0,False,235.0
204,en,paid,575,Retail,Retail,Ghana,Oda,88,F,True,800.0,GHS,575,partner,partner,1.0,False,190.0
205,,paid,150,Retail,Retail,Peru,"Puno, Puno",72,F,True,400.0,PEN,150,partner,partner,1.0,False,206.0
206,en,paid,325,Pigs,Agriculture,Philippines,"San Pablo, Alicia, Isabela",123,F,True,15000.0,PHP,325,partner,partner,2.0,False,207.0
207,en,paid,700,Fish Selling,Food,Nigeria,Benin City,20,F,True,100000.0,NGN,700,partner,partner,1.0,False,249.0
208,en,paid,4200,Clothing Sales,Clothing,Uganda,Mukono,84,F,True,9280000.0,UGX,4200,partner,partner,2.0,False,151.0
209,en,paid,175,Tailoring,Services,Philippines,"La Paz, Cabatuan Isabela",123,F,True,8000.0,PHP,175,partner,partner,2.0,False,205.0
210,en,paid,300,Pigs,Agriculture,Cambodia,Pursat,106,F,True,300.0,USD,300,partner,none,1.0,False,88.0
